"","id","city","region","first_choice","second_choice","would_not_use","gender","race","target","emotion","image_race","image_gender"
"140",34110399,"OH","Hamilton","Happiness","Neutral","Anger","female","white","BM-003","Happiness","Black","Male"
"141",4093904,"FL","Boca Raton","Fear","Surprise","Happiness","female","white","BM-003","Happiness","Black","Male"
"142",23078157,"AZ","Tempe","Anger","Disgust","Happiness","female","latino","BM-011","Anger","Black","Male"
"143",20870602,"OH","North Ridgeville","Anger","Anger","Happiness","female","white","BM-011","Anger","Black","Male"
"144",6713206,"OH","Maple Heights","Anger","Disgust","Happiness","female","black","BM-011","Anger","Black","Male"
"145",45238470,"CA","Los Angeles","Happiness","Happiness","Anger","male","black","BM-011","Happiness","Black","Male"
"146",45214633,"CA","Los Angeles","Happiness","Happiness","Anger","male","black","BM-011","Happiness","Black","Male"
"147",44828798,"MN","Duluth","Happiness","Neutral","Fear","female","white","BM-011","Happiness","Black","Male"
"148",45274653,"NY","New York","I don't know","I don't know","I don't know","male","asian","BM-011","Fear","Black","Male"
"149",28990834,"TN","Covington","Surprise","Surprise","Anger","female","white","BM-011","Fear","Black","Male"
"150",44754450,NA,NA,"Surprise","Happiness","Sadness","male","black","BM-011","Fear","Black","Male"
"151",30294143,"MN","Burnsville","Happiness","Happiness","Anger","female","white","BM-011","Happiness","Black","Male"
"152",6474507,"AE","Apo","Happiness","Happiness","Disgust","female","asian","BM-011","Happiness","Black","Male"
"153",33601893,"PA","Philadelphia","Happiness","Neutral","Anger","male","asian","BM-011","Happiness","Black","Male"
"154",45185085,"CA","San Jose","Anger","Disgust","Disgust","male","black","BM-030","Anger","Black","Male"
"155",45331060,"ID","Hayden","Anger","Disgust","Fear","female","white","BM-030","Anger","Black","Male"
"156",19425875,"OH","Napoleon","Anger","Disgust","Happiness","male","white","BM-030","Anger","Black","Male"
"157",1883983,"IL","Roselle","Happiness","Surprise","Fear","female","white","BM-030","Happiness","Black","Male"
"158",27748798,"KY","Walton","Happiness","I don't know","Fear","female","white","BM-030","Happiness","Black","Male"
"159",44411980,"WA","Issaquah","Happiness","Neutral","Anger","male","white","BM-030","Happiness","Black","Male"
"160",37369578,"NC","Charlotte","Fear","Surprise","Happiness","female","white","BM-030","Fear","Black","Male"
"161",22020002,"NY","Hopewell Junction","Fear","Surprise","Fear","male","black","BM-030","Fear","Black","Male"
"162",26740622,"IL","Roanoke","Surprise","Disgust","Happiness","female","white","BM-030","Fear","Black","Male"
"163",18172663,"KY","Somerset","Happiness","Neutral","Anger","male","black","BM-030","Happiness","Black","Male"
"164",6309240,"CA","San Diego","Happiness","Surprise","Anger","female","asian","BM-030","Happiness","Black","Male"
"165",9384458,"GA","Brunswick","Happiness","Surprise","Anger","female","white","BM-030","Happiness","Black","Male"
"166",43146784,"CA","Huntington Beach","Disgust","I don't know","Happiness","female","asian","BM-009","Anger","Black","Male"
"167",44636881,"FL","Hollywood","Disgust","Anger","Happiness","male","asian","BM-009","Anger","Black","Male"
"168",43855102,"OH",NA,"Disgust","Neutral","Fear","female","white","BM-009","Anger","Black","Male"
"169",10045416,"HI","Honolulu","Surprise","Disgust","Neutral","male","black","BM-009","Fear","Black","Male"
"170",19638651,"SC","Murrells Inlet","Surprise","Fear","Anger","female","white","BM-009","Fear","Black","Male"
"171",45294949,"CA","Long Beach","Surprise","Happiness","Disgust","female","black","BM-009","Fear","Black","Male"
"172",45072886,"PA","Erie","Happiness","Surprise","Anger","male","black","BM-009","Happiness","Black","Male"
"173",1854715,"ID","Coeur D Alene","Happiness","Surprise","Anger","male","black","BM-009","Happiness","Black","Male"
"174",28577612,"KY","Hopkinsville","Happiness","Surprise","Happiness","female","black","BM-009","Happiness","Black","Male"
"175",39419424,"CA","Sunnyvale","Neutral","Happiness","Anger","female","other","BM-009","Happiness","Black","Male"
"176",32783467,"CO","Fort Collins","Happiness","Neutral","Anger","male","white","BM-009","Happiness","Black","Male"
"177",43768273,NA,NA,"Happiness","Neutral","Anger","male","black","BM-009","Happiness","Black","Male"
"178",45238898,"CA","Los Angeles","Anger","Anger","Happiness","male","black","BM-026","Anger","Black","Male"
"179",41265265,"MN","Mound","Disgust","Anger","Happiness","female","white","BM-026","Anger","Black","Male"
"180",14723284,"NY","New York","Anger","I don't know","Happiness","female","white","BM-026","Anger","Black","Male"
"181",23510808,"VA","Richmond","Happiness","Happiness","Anger","female","white","BM-026","Happiness","Black","Male"
"182",2756659,"TN","Morristown","Happiness","Happiness","Anger","female","white","BM-026","Happiness","Black","Male"
"183",2156923,"NY","Huntington","Happiness","Surprise","Anger","female","white","BM-026","Happiness","Black","Male"
"184",25295869,"MD","Annapolis","Happiness","Surprise","Anger","male","white","BM-026","Happiness","Black","Male"
"185",25201252,"TN","Erwin","Happiness","Neutral","Surprise","female","white","BM-026","Happiness","Black","Male"
"186",20266101,"MD","Frederick","Happiness","Neutral","Anger","female","white","BM-026","Happiness","Black","Male"
"187",45238471,"CA","Los Angeles","Surprise","Surprise","Neutral","male","black","BM-026","Fear","Black","Male"
"188",15298546,"OH","Cleveland","Surprise","Fear","Happiness","female","white","BM-026","Fear","Black","Male"
"189",45238858,"CA","Los Angeles","Surprise","Surprise","Happiness","male","black","BM-026","Fear","Black","Male"
"190",6082058,"FL","Miami","Disgust","I don't know","Neutral","female","black","BM-045","Happiness","Black","Male"
"191",45102429,"NY","New York","Happiness","Surprise","Anger","male","black","BM-045","Happiness","Black","Male"
"192",28813722,"NY","Fulton","Happiness","Neutral","Anger","female","white","BM-045","Happiness","Black","Male"
"193",6488338,"HI","Honolulu","Fear","Sadness","Happiness","female","white","BM-045","Fear","Black","Male"
"194",24794753,"CA","Corona","Fear","Disgust","Happiness","female","black","BM-045","Fear","Black","Male"
"195",27770607,"TX","El Paso","Fear","Disgust","Happiness","male","latino","BM-045","Fear","Black","Male"
"196",14353703,"IA","Cedar Rapids","Disgust","Neutral","Happiness","female","white","BM-045","Anger","Black","Male"
"197",45044458,"OH","Bellaire","Disgust","Anger","Happiness","male","white","BM-045","Anger","Black","Male"
"198",39250191,"OH","Toledo","Disgust","Neutral","Fear","female","white","BM-045","Anger","Black","Male"
"199",34493246,"VA","Midlothian","Happiness","Surprise","Disgust","female","white","BM-045","Happiness","Black","Male"
"200",45223569,"WA","Auburn","Happiness","I don't know","Disgust","male","white","BM-045","Happiness","Black","Male"
"201",19429512,"TX","Leander","Happiness","Surprise","Anger","male","white","BM-045","Happiness","Black","Male"
"202",15100493,"PA","Denver","Happiness","Happiness","Sadness","female","white","BM-044","Happiness","Black","Male"
"203",20929875,"MA","Roslindale","Happiness","Neutral","Anger","male","white","BM-044","Happiness","Black","Male"
"204",37465804,"CA","Brea","Happiness","Surprise","Anger","male","asian","BM-044","Happiness","Black","Male"
"205",33565158,"TX","Garland","Surprise","Fear","Sadness","female","latino","BM-044","Fear","Black","Male"
"206",45315022,"GA","Atlanta","Fear","Surprise","Happiness","male","black","BM-044","Fear","Black","Male"
"207",45320061,"NY","New York","Happiness","Surprise","Sadness","male","white","BM-044","Fear","Black","Male"
"208",15261099,"SC","Chesnee","Happiness","Neutral","Surprise","male","latino","BM-044","Happiness","Black","Male"
"209",21088425,"MI","Battle Creek","Happiness","Surprise","Anger","female","white","BM-044","Happiness","Black","Male"
"210",13703091,"OH","Port Clinton","Happiness","Surprise","Disgust","female","latino","BM-044","Happiness","Black","Male"
"211",45065058,"NY","New York","Surprise","Fear","Happiness","male","latino","BM-017","Fear","Black","Male"
"212",30336597,"FL","Hialeah","Fear","Surprise","Happiness","male","latino","BM-017","Fear","Black","Male"
"213",27197476,"TX","Fort Worth","Surprise","Happiness","Anger","male","white","BM-017","Fear","Black","Male"
"214",19425875,"OH","Napoleon","Happiness","Happiness","Fear","male","white","BM-017","Happiness","Black","Male"
"215",6450759,"MA","Wilbraham","Happiness","Surprise","Anger","male","black","BM-017","Happiness","Black","Male"
"216",32365480,"NY","Clarence","Happiness","Neutral","I don't know","male","white","BM-017","Happiness","Black","Male"
"217",7899370,"MI","Bay City","Anger","Disgust","Happiness","female","white","BM-017","Anger","Black","Male"
"218",13869269,"IL","Romeoville","Anger","Disgust","Happiness","female","white","BM-017","Anger","Black","Male"
"219",1855781,"CT","Darien","Anger","Disgust","Happiness","male","white","BM-017","Anger","Black","Male"
"220",28521374,"TX","Glen Rose","Fear","Disgust","Happiness","female","white","BM-015","Fear","Black","Male"
"221",44255568,"NY","Ithaca","Surprise","Disgust","Happiness","male","white","BM-015","Fear","Black","Male"
"222",45213748,"CA","Los Angeles","Fear","Disgust","Happiness","female","asian","BM-015","Fear","Black","Male"
"223",25358609,"AZ","Phoenix","Anger","Disgust","Happiness","female","asian","BM-015","Anger","Black","Male"
"224",32631430,"AL","Florence","Anger","Disgust","Happiness","female","white","BM-015","Anger","Black","Male"
"225",43707962,"KS","Colby","Anger","Disgust","Happiness","male","white","BM-015","Anger","Black","Male"
"226",45196473,"NY","New York","Neutral","Neutral","Neutral","male","black","BM-015","Happiness","Black","Male"
"227",45192626,"CA","San Francisco","Happiness","Happiness","Anger","male","black","BM-015","Happiness","Black","Male"
"228",45192643,"CA","San Francisco","Happiness","Happiness","Anger","male","black","BM-015","Happiness","Black","Male"
"229",45179865,"MS","Tupelo","Happiness","I don't know","Disgust","male","black","BM-015","Happiness","Black","Male"
"230",20027100,"PA","Berwick","Happiness","Surprise","Anger","female","white","BM-015","Happiness","Black","Male"
"231",45163533,"FL","Punta Gorda","Happiness","Surprise","Sadness","other","other","BM-015","Happiness","Black","Male"
"232",45299854,"MS","Tupelo","Anger","Disgust","Happiness","male","white","BM-023","Anger","Black","Male"
"233",45181731,"TX","Dallas","Disgust","Anger","Anger","male","black","BM-023","Anger","Black","Male"
"234",45194220,NA,NA,"Anger","Disgust","Happiness","male","white","BM-023","Anger","Black","Male"
"235",30398579,"PA","Carlisle","Happiness","Surprise","Anger","female","white","BM-023","Happiness","Black","Male"
"236",44141581,"NY","Buffalo","Happiness","Surprise","Happiness","male","white","BM-023","Happiness","Black","Male"
"237",17801225,"SD","Freeman","Happiness","Surprise","Anger","male","white","BM-023","Happiness","Black","Male"
"238",6342275,"AE","Apo","Happiness","Disgust","Neutral","male","white","BM-023","Happiness","Black","Male"
"239",43836095,NA,NA,"Disgust","Happiness","Sadness","male","asian","BM-023","Happiness","Black","Male"
"240",36638667,"TX","Corpus Christi","Happiness","Neutral","Anger","female","latino","BM-023","Happiness","Black","Male"
"241",1863365,"MI","Macomb","Fear","Sadness","Happiness","male","black","BM-023","Fear","Black","Male"
"242",15016371,"PA","Erie","Surprise","Fear","Happiness","female","white","BM-023","Fear","Black","Male"
"243",45168239,"CA","Tulare","Fear","Surprise","Happiness","male","black","BM-023","Fear","Black","Male"
"244",39589091,"NV","Las Vegas","Happiness","Surprise","Sadness","male","white","BM-016","Happiness","Black","Male"
"245",39911407,"NY","Buffalo","Happiness","Surprise","Anger","male","white","BM-016","Happiness","Black","Male"
